date,code,name,open,close,high,low,volume,amount,pct_chg,index_return
2024-01-19,000300,沪深300,3261.239,3269.776,3286.942,3251.814,11850140800,,-0.15124915680045925,-0.0015136365380268703
2024-01-22,000300,沪深300,3262.469,3218.902,3281.421,3193.178,14870562800,,-1.5558863971109838,-0.01568117341787791
2024-01-23,000300,沪深300,3208.432,3231.933,3249.531,3188.126,12201200000,,0.40482748465160423,0.0040401026300605535
2024-01-24,000300,沪深300,3245.959,3277.109,3281.489,3190.467,15437195400,,1.3978012539245022,0.013881221047546426
2024-01-25,000300,沪深300,3274.339,3342.919,3344.243,3269.794,19683361400,,2.0081724471172624,0.019882746117142656
2024-01-26,000300,沪深300,3326.647,3333.821,3351.969,3315.127,18066400500,,-0.27215735708822075,-0.0027252837855100843
2024-01-29,000300,沪深300,3335.394,3303.96,3351.372,3303.96,18416479500,,-0.8956989592422637,-0.008997344577218024
2024-01-30,000300,沪深300,3283.898,3245.039,3300.204,3244.972,14364935000,,-1.7833448346832204,-0.017994380474100128
2024-01-31,000300,沪深300,3231.543,3215.352,3252.148,3201.926,15314346900,,-0.9148426259283915,-0.009190530096758586
2024-02-01,000300,沪深300,3202.256,3217.711,3251.758,3191.897,14551679200,,0.07336677290696869,0.0007333987264656598
2024-02-02,000300,沪深300,3219.873,3179.628,3235.408,3108.352,17375808900,,-1.1835432081998554,-0.011906028386339926
2024-02-05,000300,沪深300,3164.25,3200.422,3233.849,3111.518,20304297000,,0.6539758739072532,0.006518467293753662
2024-02-06,000300,沪深300,3185.25,3311.692,3314.512,3182.822,20271309900,,3.476729006362289,0.034176560918674874
2024-02-07,000300,沪深300,3314.031,3343.63,3343.63,3289.67,21664793300,,0.964401278862903,0.009597806138115858
2024-02-08,000300,沪深300,3351.405,3364.93,3367.21,3336.978,18997757800,,0.6370322075109902,0.006350117335176006
2024-02-19,000300,沪深300,3393.192,3403.808,3403.808,3364.142,18331980000,,1.1553880764235913,0.011487644387128003
2024-02-20,000300,沪深300,3395.192,3410.854,3415.894,3380.103,14073458100,,0.20700345025335132,0.0020678949332587067
2024-02-21,000300,沪深300,3390.362,3456.871,3500.134,3383.691,18887936200,,1.3491342637357073,0.013401144828399245
2024-02-22,000300,沪深300,3450.352,3486.675,3486.683,3448.414,14102078400,,0.8621669712291835,0.008584715371482237
2024-02-23,000300,沪深300,3491.337,3489.742,3507.559,3472.968,14482127300,,0.08796346089039453,0.0008792479571062767
2024-02-26,000300,沪深300,3485.543,3453.359,3492.606,3445.389,15124833100,,-1.042569909179536,-0.010480427412239257
2024-02-27,000300,沪深300,3440.052,3494.787,3494.787,3437.442,13952824600,,1.19964359338256,0.011925049054552075
2024-02-28,000300,沪深300,3499.826,3450.26,3521.657,3450.26,18983754800,,-1.274097677483621,-0.012822839100079192
2024-02-29,000300,沪深300,3437.898,3516.083,3516.083,3437.898,15594453200,,1.9077692695622872,0.018897995392668423
2024-03-01,000300,沪深300,3515.059,3537.804,3544.36,3503.459,16270957000,,0.6177612985813985,0.006158609757614577
2024-03-04,000300,沪深300,3538.366,3540.869,3548.69,3519.76,16324461300,,0.08663566438389392,0.0008659815735359105
2024-03-05,000300,沪深300,3524.964,3565.514,3570.694,3519.082,16642238900,,0.6960155826154502,0.006936045750201252
2024-03-06,000300,沪深300,3556.532,3551.048,3577.388,3545.101,14307661300,,-0.40571990461965024,-0.004065451807874733
2024-03-07,000300,沪深300,3548.101,3529.72,3569.919,3522.896,14811051000,,-0.6006114251342121,-0.00602422350277334
2024-03-08,000300,沪深300,3529.551,3544.91,3548.506,3511.577,12579266400,,0.4303457498045171,0.0042942241056892145
2024-03-11,000300,沪深300,3545.943,3589.264,3589.264,3542.279,14820282500,,1.2512024282703926,0.012434395762809296
